"","id","host_id.x","neighbourhood_cleansed.x","room_type.x","price.x","number_of_reviews.x","last_review.x","reviews_per_month.x","host_id.y","neighbourhood_cleansed.y","room_type.y","price.y","number_of_reviews.y","last_review.y","reviews_per_month.y"
"1",2818,3159,"Oostelijk Havengebied - Indische Buurt","Private room",59,278,2020-02-14,1.95,3159,"Oostelijk Havengebied - Indische Buurt","Private room",59,278,2020-02-14,1.94
"2",20168,59484,"Centrum-Oost","Private room",236,339,2020-04-09,2.58,59484,"Centrum-Oost","Private room",96,339,2020-04-09,2.56
"3",25428,56142,"Centrum-West","Entire home/apt",125,5,2020-02-09,0.14,56142,"Centrum-West","Entire home/apt",125,5,2020-02-09,0.14
"4",27886,97647,"Centrum-West","Private room",135,219,2020-07-25,2.01,97647,"Centrum-West","Private room",125,219,2020-07-25,2
"5",28871,124245,"Centrum-Oost","Private room",75,336,2020-09-20,2.68,124245,"Centrum-Oost","Private room",75,336,2020-09-20,2.66
"6",29051,124245,"Centrum-Oost","Private room",55,481,2020-08-28,4.05,124245,"Centrum-Oost","Private room",55,481,2020-08-28,4.02
"7",31080,133488,"Zuid","Entire home/apt",219,32,2017-10-16,0.28,133488,"Zuid","Entire home/apt",219,32,2017-10-16,0.28
"8",41125,178515,"Centrum-West","Entire home/apt",160,89,2020-02-10,0.73,178515,"Centrum-West","Entire home/apt",160,89,2020-02-10,0.72
"9",43109,188098,"Centrum-West","Entire home/apt",211,60,2020-03-07,4.31,188098,"Centrum-West","Entire home/apt",211,60,2020-03-07,4.02
"10",44129,187728,"Centrum-West","Entire home/apt",115,178,2020-10-26,1.42,187728,"Centrum-West","Entire home/apt",115,179,2021-01-01,1.41
"11",46386,207342,"De Pijp - Rivierenbuurt","Entire home/apt",150,3,2018-01-03,0.02,207342,"De Pijp - Rivierenbuurt","Entire home/apt",150,3,2018-01-03,0.02
"12",49552,225987,"Centrum-West","Entire home/apt",146,368,2020-09-23,2.98,225987,"Centrum-West","Entire home/apt",136,368,2020-09-23,2.96
"13",49790,227530,"De Baarsjes - Oud-West","Entire home/apt",250,103,2019-05-14,0.88,227530,"De Baarsjes - Oud-West","Entire home/apt",250,103,2019-05-14,0.88
"14",50515,231864,"Bos en Lommer","Entire home/apt",115,17,2020-02-20,0.21,231864,"Bos en Lommer","Entire home/apt",115,17,2020-02-20,0.21
